32.0.22029.9039,25.12.1 
32.0.21037.1004,25.12.1  
32.0.22029.1019,25.11.1 
32.0.21033.3005,25.11.1  
32.0.22021.1009,25.10.2 
32.0.21033.2001,25.10.2  
32.0.21025.25005,25.10.1 
32.0.21025.15011,25.9.2 
32.0.21025.10016,25.9.1 
32.0.21025.1024,25.8.1 
31.0.21923.11000,25.8.1  
32.0.21013.9005,25.6.3 
32.0.21013.4013,25.6.2 
32.0.21013.1000,25.6.1 
32.0.21001.9024,25.5.1 
31.0.21923.1000,25.5.1  
32.0.13031.8021,25.4.1 
32.0.13031.4034,25.3.2 
32.0.13031.3015,25.3.1 
32.0.12033.5029,25.2.1 
32.0.12033.5010,25.1.1 
32.0.12033.1030,24.12.1 
32.0.12019.1028,24.10.1 
32.0.12011.1036,24.9.1 
31.0.21921.1000,24.9.1  
32.0.11037.4004,24.8.1 
32.0.11029.1008,24.7.1 
31.0.21916.2,24.7.1  
32.0.11021.1011,24.6.1 
31.0.24033.1003,24.5.1 
31.0.24031.5001,24.4.1 
31.0.24027.1012,24.3.1 
31.0.21912.14,24.3.1  
31.0.24019.1006,24.2.1 
31.0.24002.92,24.1.1 
31.0.21910.5,24.1.1  
31.0.23013.1023,23.12.1 
31.0.22023.1014,23.11.1 
31.0.21905.1001,23.11.1  
31.0.22017.3004,23.10.2 
31.0.22017.1011,23.10.1 
31.0.22011.4008,23.9.3 
31.0.22011.1008,23.9.2 
31.0.21031.1005,23.9.1 
31.0.21029.6002,23.8.2 
31.0.21029.1006,23.8.1 
31.0.21023.2010,23.7.2 
31.0.21001.45002,23.7.1 
31.0.14057.5006,23.5.2 
31.0.14057.2005,23.5.1 
31.0.14051.5006,23.4.3 
31.0.14051.1000,23.4.2 
31.0.14043.7000,23.4.1 
31.0.14043.1000,23.3.2 
31.0.14037.1007,23.3.1 
31.0.14033.1012,23.2.2 
31.0.14001.45012,23.2.1 
31.0.14000.62003,23.1.1 
31.0.14000.61002,22.12.2 
31.0.14000.59010,22.12.1 
31.0.12029.10015,22.11.2 
31.0.12029.7019,22.11.1 
31.0.12029.4013,22.10.3 
31.0.12029.1042,22.10.2 
31.0.12019.16007,22.10.1 
31.0.12019.15004,22.9.2 
31.0.12019.11001,22.9.1 
31.0.12019.9007,22.8.2 
31.0.12019.5007,22.8.1 
31.0.12015.1008,22.7.1 
30.0.21023.1015,22.6.1 
30.0.21017.1000,22.5.2 
30.0.15021.11005,22.5.1 
30.0.15021.7000,22.4.2 
30.0.15021.1001,22.4.1 
30.0.15019.1005,22.3.2 
30.0.15002.1004,22.3.1 
30.0.14029.5006,22.2.3 
30.0.14029.1011,22.2.2 
30.0.14023.7007,22.2.1 
30.0.14023.3004,22.1.2 
30.0.14023.1009,22.1.1 
30.0.14011.3017,21.12.1 
30.0.13037.1003,21.11.3 
30.0.13033.5003,21.11.2 
30.0.13033.1000,21.11.1 
30.0.13031.5001,21.10.4 
30.0.13031.1001,21.10.3 
30.0.13025.5005,21.10.2 
30.0.13025.1000,21.10.1 
30.0.13017.5006,21.9.2 
30.0.13017.1004,21.9.1 
27.20.22025.1006,21.8.2 
27.20.22023.1004,21.8.1 
27.20.22021.1002,21.7.2 
27.20.22017.1004,21.7.1 
27.20.22001.16006,21.6.2 
27.20.22001.14011,21.6.1 
27.20.21003.8013,21.5.2 
27.20.21003.1028,21.5.1 
27.20.21002.112,21.4.1 
27.20.15003.5017,21.3.2 
27.20.15003.1004,21.3.1 
27.20.14535.3005,21.2.3 
27.20.14535.1000,21.2.2 
27.20.14533.1000,21.2.1 
27.20.14527.2002,21.1.1 
27.20.14501.33001,20.12.2 
27.20.14501.28009,20.12.1 
27.20.14501.24001,20.11.3 
27.20.14501.18003,20.11.2 
27.20.12033.2007,20.11.1 
27.20.12033.1007,20.10.1 
27.20.12031.1000,20.9.2 
27.20.12029.1000,20.9.1 
27.20.12027.1001,20.8.3 
27.20.2001.16003,20.8.2 
27.20.2001.13001,20.8.1 
27.20.2001.9003,20.7.2 
27.20.2001.8002,20.7.1 
27.20.1017.1011,20.5.1 
26.20.15029.27017,20.4.2 
26.20.15029.20013,20.4.1 
26.20.15029.15004,20.3.1 
26.20.15019.19000,20.2.2 
26.20.15019.1003,20.2.1 
26.20.15017.1005,20.1.4 
26.20.15015.1007,20.1.3 
26.20.15011.10003,20.1.2 
26.20.15011.5007,20.1.1 
26.20.15003.5016,19.12.3 
26.20.15002.61,19.12.2 
26.20.13031.20012,19.12.1 
26.20.13031.18002,19.11.3 
26.20.13031.15006,19.11.2 
26.20.13031.10003,19.11.1 
26.20.13031.5004,19.10.2 
26.20.13025.10004,19.10.1 
26.20.13025.1004,19.9.3 
26.20.13003.1007,19.9.2 
26.20.13001.50005,19.9.1 
26.20.13001.4003,19.8.2 
26.20.13001.29010,19.8.1 
26.20.13001.25001,19.7.5 
26.20.13001.23001,19.7.4 
26.20.13001.18009,19.7.3 
26.20.13001.16003,19.7.2 
26.20.13001.9005,19.7.1 
26.20.12001.11014,19.6.3 
26.20.12001.7006,19.6.2 
26.20.11015.9003,19.6.1 
26.20.11015.5008,19.5.2 
26.20.11015.1003,19.5.1 
25.20.15031.9002,19.4.3 
25.20.15031.5004,19.4.2 
25.20.15031.1000,19.4.1 
25.20.15027.9004,19.3.3 
25.20.15027.5006,19.3.2 
25.20.15027.1003,19.3.1 
25.20.15025.1002,19.2.3 
25.20.15021.1007,19.2.2 
25.20.15017.1008,19.2.1 
25.20.15015.1002,19.1.2 
25.20.15011.1004,19.1.1 
25.20.15003.5010,18.12.3 
25.20.15003.1002,18.12.2 
25.20.14011.9004,18.12.1 
25.20.14011.5005,18.11.2 
25.20.14011.1003,18.11.1 
25.20.14007.1000,18.10.2 
24.20.14003.1010,18.10.1 
24.20.13019.1004,18.9.3 
24.20.13017.5001,18.9.2 
24.20.13017.1009,18.9.1 
24.20.13011.1009,18.8.2 
24.20.13001.1010,18.8.1 
24.20.12019.1010,18.7.1 
24.20.11021.1000,18.6.1 
24.20.11019.1004,18.5.2 
24.20.11016.4,18.5.1 
24.20.11001.5003,18.4.1 
23.20.15033.5003,18.3.4 
23.20.15033.1003,18.3.3 
23.20.15027.2002,18.3.2 
23.20.15027.1004,18.3.1 
23.20.15025.1004,18.2.3 
23.20.15017.4003,18.2.2 
23.20.15017.3010,18.2.1 
23.20.15015.1002,18.1.1 
